id,symbol,target_fiscal_year,target_fiscal_period,snapshot_date,source,revenue_est_as_reported,eps_est_as_reported,num_analysts_revenue,num_analysts_eps,cumulative_split_factor,eps_est_current,revenue_est_current,pulled_at
70,NVDA,2026,Q3,2026-06-09,FMP_earnings_company,54.961119678,1.26,,,1,1.26000000000000000000,54.961119678,2026-06-09 11:40:00.107912+08
71,NVDA,2026,Q4,2026-06-09,FMP_earnings_company,66.12647,1.54,,,1,1.54000000000000000000,66.12647,2026-06-09 11:40:00.107912+08
72,NVDA,2027,Q1,2026-06-09,FMP_earnings_company,78.42337,1.76,,,1,1.76000000000000000000,78.42337,2026-06-09 11:40:00.107912+08
145,TSLA,2020,Q2,2026-06-09,FMP_earnings_company,0.411545454,0.01084,,,15,0.00072266666666666667,0.411545454,2026-06-09 11:40:00.107912+08
146,TSLA,2020,Q3,2026-06-09,FMP_earnings_company,6.809065789,0.18,,,3,0.06000000000000000000,6.809065789,2026-06-09 11:40:00.107912+08
147,TSLA,2020,Q4,2026-06-09,FMP_earnings_company,10.1968,0.3,,,3,0.10000000000000000000,10.1968,2026-06-09 11:40:00.107912+08
148,TSLA,2021,Q1,2026-06-09,FMP_earnings_company,9.97633,0.26,,,3,0.08666666666666666667,9.97633,2026-06-09 11:40:00.107912+08
149,TSLA,2021,Q2,2026-06-09,FMP_earnings_company,8.644038631,0.33,,,3,0.11000000000000000000,8.644038631,2026-06-09 11:40:00.107912+08
150,TSLA,2021,Q3,2026-06-09,FMP_earnings_company,13.1486,0.53,,,3,0.17666666666666666667,13.1486,2026-06-09 11:40:00.107912+08
151,TSLA,2021,Q4,2026-06-09,FMP_earnings_company,15.7476,0.79,,,3,0.26333333333333333333,15.7476,2026-06-09 11:40:00.107912+08
152,TSLA,2022,Q1,2026-06-09,FMP_earnings_company,17.868578587,0.75,,,3,0.25000000000000000000,17.868578587,2026-06-09 11:40:00.107912+08
153,TSLA,2022,Q2,2026-06-09,FMP_earnings_company,16.539370385,0.6,,,3,0.20000000000000000000,16.539370385,2026-06-09 11:40:00.107912+08
154,TSLA,2022,Q3,2026-06-09,FMP_earnings_company,21.982042234,0.99,,,1,0.99000000000000000000,21.982042234,2026-06-09 11:40:00.107912+08
155,TSLA,2022,Q4,2026-06-09,FMP_earnings_company,24.669077753,1.13,,,1,1.13000000000000000000,24.669077753,2026-06-09 11:40:00.107912+08
156,TSLA,2023,Q1,2026-06-09,FMP_earnings_company,23.2903,0.85,,,1,0.85000000000000000000,23.2903,2026-06-09 11:40:00.107912+08
157,TSLA,2023,Q2,2026-06-09,FMP_earnings_company,24.4771,0.82,,,1,0.82000000000000000000,24.4771,2026-06-09 11:40:00.107912+08
158,TSLA,2023,Q3,2026-06-09,FMP_earnings_company,24.0961,0.72,,,1,0.72000000000000000000,24.0961,2026-06-09 11:40:00.107912+08
159,TSLA,2023,Q4,2026-06-09,FMP_earnings_company,25.5475,0.75,,,1,0.75000000000000000000,25.5475,2026-06-09 11:40:00.107912+08
160,TSLA,2024,Q1,2026-06-09,FMP_earnings_company,22.220029354,0.51,,,1,0.51000000000000000000,22.220029354,2026-06-09 11:40:00.107912+08
161,TSLA,2024,Q2,2026-06-09,FMP_earnings_company,24.539747788,0.62,,,1,0.62000000000000000000,24.539747788,2026-06-09 11:40:00.107912+08
162,TSLA,2024,Q3,2026-06-09,FMP_earnings_company,25.468371161,0.58,,,1,0.58000000000000000000,25.468371161,2026-06-09 11:40:00.107912+08
163,TSLA,2024,Q4,2026-06-09,FMP_earnings_company,27.25892457,0.774,,,1,0.77400000000000000000,27.25892457,2026-06-09 11:40:00.107912+08
164,TSLA,2025,Q1,2026-06-09,FMP_earnings_company,21.269497845,0.4136,,,1,0.41360000000000000000,21.269497845,2026-06-09 11:40:00.107912+08
165,TSLA,2025,Q2,2026-06-09,FMP_earnings_company,22.279678348,0.3972,,,1,0.39720000000000000000,22.279678348,2026-06-09 11:40:00.107912+08
166,TSLA,2025,Q3,2026-06-09,FMP_earnings_company,26.540367719,0.558,,,1,0.55800000000000000000,26.540367719,2026-06-09 11:40:00.107912+08
167,TSLA,2025,Q4,2026-06-09,FMP_earnings_company,24.77644,0.4548,,,1,0.45480000000000000000,24.77644,2026-06-09 11:40:00.107912+08
168,TSLA,2026,Q1,2026-06-09,FMP_earnings_company,22.10078,0.3539,,,1,0.35390000000000000000,22.10078,2026-06-09 11:40:00.107912+08
